序号,DOI,标题,matched,terms数,terms,domains,匹配方式,初步文旅判定,全文,全文分析确认,适合进入模型,备注,include_in_model,判定依据,判定来源,人工复核(姐),人工复核理由,terms_version,b1_version
16,10.47832/2717-8293.16.26,الماء والسياحة في المجالات الواحية الصحراوية - الواحات المغربية نموذجا,True,22,And Community Participation; And The Environment; Dates; Effect Of Destination; Eid; Hadith; Hajj And Umrah; In Agriculture; Mainland Chinese Outbound Tourism; Ney; Oud Perfume; Palace; Pilgrim; Policy Issues; Qanun; Regulation; Souq; Taiz; The Political Economy; The Sustainable Development; Tyre; University,可持续发展; 地理; 政策法规; 教育; 数字技术; 文化艺术; 文化遗产; 旅游; 经济贸易; 阿拉伯文化,fulltext,文旅相关,无全文,待读,适合,摩洛哥绿洲的水与旅游，旅游＋绿洲地理与水资源，域内核心。,TRUE,标题级,AI预判(Claude),,,3332966f,12233
17,,الاستثمار المستدام في مباني التراث العمراني (دراسة تحليلية),True,1,And Intangible Cultural Heritage,文化遗产,title,文旅相关,无全文,待读,适合,建筑遗产建筑的可持续投资，文化遗产的活化利用与投资，域内核心。,TRUE,标题级,AI预判(Claude),,,3332966f,12233
18,,الروابط بين الطبيعة والثقافة والنزاعات وتأثيرات التغير المناخي,True,1,In Agriculture,文化艺术,title,文旅相关,无全文,待读,待定,"题名涵盖自然—文化—冲突—气候变化的关联，范围过宽，无法从题名判断是否落在遗产或旅游语境；唯一命中词 ""In Agriculture"" 为残片。",PENDING,需摘要/全文,AI预判(Claude),,,3332966f,12233
19,,التطريز بالخيوط الذكية لبعض المطرزات السعودية,True,2,Embroidery; Oud Perfume,阿拉伯文化,title,文旅相关,无全文,待读,适合,沙特传统刺绣与智能纱线，传统手工艺（非遗）与材料技术交叉。口径提示：若要求以文旅服务为落点，可降为待定。,TRUE,标题级,AI预判(Claude),,,3332966f,12233
20,,صناعة المخطوط في العراق,True,15,And The Environment; Caravanserai; Dates; Fez; Hajj And Umrah; In Agriculture; Of Arabic And English; Pilgrim; Pills In Dubai; Pottery; Rebab; Shawl; To Mecca; Trade; University,可持续发展; 地理; 教育; 数字技术; 文化艺术; 经济贸易; 阿拉伯文化,fulltext,文旅相关,有全文(标题匹配),待读,适合,伊拉克写本制作工艺，属传统工艺与文献遗产。注意：15 个命中词多为噪声（Dates / Trade / University / Pills In Dubai），纳入依据是题名。,TRUE,标题级,AI预判(Claude),,,3332966f,12233
21,,مخطوطة صفة المياه الحادة المعدنية,True,8,And Intangible Cultural Heritage; Fez; Hajj And Umrah; In Agriculture; Of Arabic And English; Shawl; Travel To; University,地理; 教育; 文化艺术; 文化遗产; 旅游; 阿拉伯文化,fulltext,文旅相关,有全文(标题匹配),待读,待定,《矿泉水性状》写本：既可读作医学写本校勘（不入模），也可读作泉水与温泉的历史利用（入模）。需读全文后定。,PENDING,需全文（本条标注有全文）,AI预判(Claude),,,3332966f,12233
22,,تحقيق القسم الثالث من مخطوطة الآداب الطبية,False,0,,,title,无匹配(自动判定非文旅，待人工复核),无全文,待读,不适合,《医学礼仪》写本第三部分校勘，属医学文献校勘；0 命中词，与初判一致。,FALSE,标题级,AI预判(Claude),,,3332966f,12233
23,,ألواح الرصاص دراسة تاريخية,True,29,Abha; And Community Participation; And Deep Learning; And Intangible Cultural Heritage; And Interfaith Dialogue; Bisht; Cairo; Dates; Effect Of Destination; Eid; Hadith; Hajj And Umrah; In Museum; Language Education Students; Maqluba; Medina; Mosque; Ney; Of Arabic And English; Oud Perfume; Pilgrim; Pills In Dubai; Pottery; Quran; Shawl; Taiz; Travel To; Tyre; University,地理; 教育; 数字技术; 文化艺术; 文化遗产; 旅游; 阿拉伯文化,fulltext,文旅相关,有全文(标题匹配),待读,待定,铅板的历史研究：可能是铭刻或护身板等考古器物（属文化遗产），也可能是冶金与材料史。需读全文后定。,PENDING,需全文（本条标注有全文）,AI预判(Claude),,,3332966f,12233
24,,الأوبئة في التراث الطبي العربي والإسلامي,True,3,And Intangible Cultural Heritage; Islamic; Of Arabic And English,文化遗产; 阿拉伯文化,title,文旅相关,无全文,待读,不适合,"阿拉伯与伊斯兰医学遗产中的瘟疫，属医学史；""And Intangible Cultural Heritage"" 命中源自「遗产」字面，非文旅遗产语境。口径提示：若域扩至「知识遗产」，本条改判适合。",FALSE,标题级,AI预判(Claude),,,3332966f,12233
25,,القدس منارة الشعر العربي,True,32,And Community Participation; And Intangible Cultural Heritage; And The Environment; Arab Culture; Bamascus; Cairo; Caravanserai; Dates; Effect Of Destination; Eid; Hadith; Hajj And Umrah; In Agriculture; In Higher Education; Kuwait; Language Education Students; Medina; Mosque; Muslim-Friendly; Ney; Of Arabic And English; Oud Perfume; Palace; Pilgrim; Pills In Dubai; Riyadh; Souq; Standard; Taiz; The Sustainable Development; Tyre; University,可持续发展; 地理; 政策法规; 教育; 数字技术; 文化艺术; 文化遗产; 旅游; 阿拉伯文化,fulltext,文旅相关,有全文(标题匹配),待读,适合,耶路撒冷作为阿拉伯诗歌的灯塔，遗产城市的文学书写，属文化艺术＋遗产地方性。,TRUE,标题级,AI预判(Claude),,,3332966f,12233
26,,أهمية دراسة المصادر التاريخية,True,21,Al Khobar; And Intangible Cultural Heritage; Cairo; Caravanserai; Dates; Eid; Fez; Hajj And Umrah; Jeddah; Kuwait; Language Education Students; Mosul; Muslim-Friendly; Najaf; Ney; Oud Perfume; Pilgrim; Pills In Dubai; Sanaa; To Mecca; University,地理; 教育; 数字技术; 文化遗产; 阿拉伯文化,fulltext,文旅相关,有全文(标题匹配),待读,不适合,史料研究之重要性，属史学方法论，对象是史料本身而非文旅对象。,FALSE,标题级,AI预判(Claude),,,3332966f,12233
27,,منطقة الحياد العراقية السعودية,True,14,Agreement; And Intangible Cultural Heritage; And The Environment; Caravanserai; Hajj And Umrah; Jeddah; Of Arabic And English; Oud Perfume; Pilgrim; Pills In Dubai; Shawl; To Mecca; University; Wide Research,可持续发展; 地理; 政策法规; 教育; 数字技术; 文化遗产; 研究方法; 阿拉伯文化,fulltext,文旅相关,有全文(标题匹配),待读,不适合,伊沙中立区，属边界地理与政治史；14 个命中词全部为噪声（含垃圾词 Pills In Dubai）。,FALSE,标题级,AI预判(Claude),,,3332966f,12233
