stable_id,idx,openalex_id,doi,title,year,venue,source_db,pdf_url,download_status,category,basis,ar_ratio_body,fa_ratio_body,en_ratio_body,text_len,pages,tourism_hits,tourism_hit_ratio,hit_keywords,include_in_model,model_rule,include_in_case,case_rule
W2738822847,10,W2738822847,10.36325/ghjec.v12i36.9189,دور الحكومتان المركزية والمحلية والقطاع الخاص في تنشيط حركه السياحه الدينيه لمحافظه النجف الاشرف,2016,Al-Ghary Journal of Economic and Administrative Sciences,OpenAlex,https://journal.uokufa.edu.iq/index.php/ghjec/article/download/9189/8856,ok,QUAL_CASE,阿语占比中等(30.9%)但文旅词命中4个且文本充足，可作定性案例,0.3087,0.0,0.0493,24865,10,4,0.1143,tourism;tourist;tour;destination,0,,1,在90案例池内
W2620257661,11,W2620257661,10.36325/ghjec.v13i40.5638,توظيف عقود المبادلات في مجال الفنادق والسياحة دراسة تحليلية في عينة من الفنادق العراقية المسجلة في سوق العراق للأوراق المالية,2017,Al-Ghary Journal of Economic and Administrative Sciences,OpenAlex,https://journal.uokufa.edu.iq/index.php/ghjec/article/download/5638/5253,ok,AR_PURE,纯阿语正文(阿语69.2%/英文5.6%)，文旅词命中7个，文本充足,0.6916,0.0,0.0557,22970,10,7,0.2,tourism;tour;hotel;سياحة;السياحة;فندق;فنادق,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W4380609287,12,W4380609287,10.58205/fber.v2i4.1056,الاقتصاد الدائري كمدخل إبداعي للحد من البصمة البیئیة وتحقیق التنمیة السیاحیة المستدامة: دراسة نظریة وتحلیلیة,2018,Finance and Business Economies Review,OpenAlex,http://jiamcs.centre-univ-mila.dz/index.php/fber/article/download/1056/793,ok,QUAL_CASE,阿语占比中等(25.2%)但文旅词命中3个且文本充足，可作定性案例,0.2515,0.0,0.0577,18650,10,3,0.0857,tourism;tour;sustainable tourism,0,,1,在90案例池内
W2951414388,13,W2951414388,10.31430/yywd4899,التحولات الاجتماعية التاريخية لمدينة المنامة: معادلات الديموغرافيا والأسلمة والتسويق,2019,عمران للعلوم الإجتماعية و الإنسانية,OpenAlex,https://omran.dohainstitute.org/ar/028/Pages/Omran28-2019-Kadhim.pdf,ok,AR_PURE,纯阿语正文(阿语74.1%/英文4.8%)，文旅词命中7个，文本充足,0.7408,0.0,0.0478,24402,10,7,0.2,tourism;tour;سياحة;cultural;ثقافة;ثقافي;destination,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W2160648592,14,W2160648592,,توجهات دولة ماليزيا في احلفاظ على هوية اللغة العربية وحضارتها = Malaysia’s approach to maintain the identityand the civilization of the Arabic language,2015,The International Islamic University Malaysia Repository (The International Islamic University Malaysia),OpenAlex,http://eprints.usm.my/45345/1/ANDI%20TENRI%20FITRIYAH.pdf,ok,LANG_MISJUDG,正文阿语占比0.0%<15%，语言误判,0.0,0.0,0.5571,8543,10,0,0.0,,0,语言误判(正文阿语<15%，如波斯语/土耳其语标题混入)，排除出模型,0,未进90案例池
W2255529639,15,W2255529639,10.36325/ghjec.v10i30.5466,الأنومية التنظيمية وسلوك العمل العكسي دراسة تطبيقية في شركات السياحة والسفر العراقية,2014,Al-Ghary Journal of Economic and Administrative Sciences,OpenAlex,https://journal.uokufa.edu.iq/index.php/ghjec/article/download/5466/5082,ok,QUAL_CASE,阿语占比中等(27.8%)但文旅词命中3个且文本充足，可作定性案例,0.2781,0.0,0.0996,23540,10,3,0.0857,tourism;travel;tour,0,,1,在90案例池内
W2975153829,16,W2975153829,,إعداد مواد اللغة العربية للأغراض السياحية على أساس النظرية التواصلية لموظفي متحف د-توفينج باتو – جاوى الشرقية,2018,eTheses of Maulana Malik Ibrahim State Islamic University (Maulana Malik Ibrahim State Islamic University),OpenAlex,http://etheses.uin-malang.ac.id/14515/1/16720032.pdf,ok,AR_PURE,纯阿语正文(阿语67.1%/英文5.3%)，文旅词命中3个，文本充足,0.6707,0.0,0.0526,4009,10,3,0.0857,سياحي;السياحية;متحف,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W3115118085,17,W3115118085,10.36325/ghjec.v15i1.5384,أثر إدارة المراسم والاتيكيت في تحقيق النجاح الاستراتيجي لمنظمات الضيافة,2018,Al-Ghary Journal of Economic and Administrative Sciences,OpenAlex,https://journal.uokufa.edu.iq/index.php/ghjec/article/download/5384/4997,ok,AR_PURE,纯阿语正文(阿语66.6%/英文11.2%)，文旅词命中14个，文本充足,0.666,0.0,0.1115,24826,10,14,0.4,tourism;tourist;tour;hospitality;hotel;سياحة;سياحي;سائح,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W4399798534,18,W4399798534,10.34120/jss.v32i1.1681,التخطيط والإعداد لتصميم نظام معلومات سياحى وبنائه: نموذج مقترح للسياحة في المملكة العربية السعودية.,2004,مجلة العلوم الاجتماعية,OpenAlex,https://journals.ku.edu.kw/jss/index.php/jss/article/download/1681/937,ok,LANG_MISJUDG,正文阿语占比0.0%<15%，语言误判,0.0,0.0,0.0001,23807,10,0,0.0,,0,语言误判(正文阿语<15%，如波斯语/土耳其语标题混入)，排除出模型,0,未进90案例池
W4399805259,19,W4399805259,10.34120/jgaps.v36i137.2013,المقومات المجتمعية في دعم البرامج السياحية: دراسة تطبيقية على الإمارات باستخدام نموذج المعادلات الهيكلية.,2010,مجلة دراسات الخليج والجزيرة العربية.,OpenAlex,https://journals.ku.edu.kw/jgaps/index.php/jgaps/article/download/2013/1681,ok,LANG_MISJUDG,正文阿语占比0.0%<15%，语言误判,0.0,0.0,0.5229,17753,10,3,0.0857,tourism;tour;cultural,0,语言误判(正文阿语<15%，如波斯语/土耳其语标题混入)，排除出模型,0,未进90案例池
W7118057866,20,W7118057866,,تجربة أسلمة المعرفة في الجامعة الإسلامية العالمية بماليزيا: اتجاهات طلبة الجامعة نحو فعاليتها= The implementation of Islamization of knowledge at the International Islamic University Malaysia (IIUM): students’ perceptions of its effectiveness,2025,The International Islamic University Malaysia Repository (The International Islamic University Malaysia),OpenAlex,http://irep.iium.edu.my/126207/1/126207_%D8%AA%D8%AC%D8%B1%D8%A8%D8%A9%20%D8%A3%D8%B3%D9%84%D9%85%D8%A9%20%D8%A7%D9%84%D9%85%D8%B9%D8%B1%D9%81%D8%A9.pdf,ok,QUAL_CASE,阿语占比中等(39.9%)但文旅词命中3个且文本充足，可作定性案例,0.3995,0.0,0.1332,28725,10,3,0.0857,tourism;tour;sustainable tourism,0,,1,在90案例池内
W2803367349,21,W2803367349,10.18860/abj.v2i1.5308,تطوير الموسوعة السياحية على أساس الصورة الفوتوغرافية في الوكالة السياحية لمدينة مالانج,2017,Abjadia International Journal of Education,OpenAlex,http://ejournal.uin-malang.ac.id/index.php/abjadia/article/download/5308/Bahasa%20Arab,ok,AR_PURE,纯阿语正文(阿语63.9%/英文11.8%)，文旅词命中4个，文本充足,0.6394,0.0,0.1178,23746,10,4,0.1143,tourism;tourist;travel;tour,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W3081380309,22,W3081380309,10.36325/ghjec.v14i4.5559,العوامل الديموغرافية وأثرها في قرار السلوك الشرائي,2018,Al-Ghary Journal of Economic and Administrative Sciences,OpenAlex,https://journal.uokufa.edu.iq/index.php/ghjec/article/download/5559/5175,ok,AR_PURE,纯阿语正文(阿语68.2%/英文9.2%)，文旅词命中7个，文本充足,0.6819,0.0,0.0917,20721,10,7,0.2,tourism;tour;hotel;سياحة;السياحة;فنادق;ثقافي,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W2910037742,23,W2910037742,10.36325/ghjec.v15i2.5399,الصورة الذهنية للسائحوأثرها في تحقيق النجاح الاستراتيجي لمنظمات الضيافة,2018,Al-Ghary Journal of Economic and Administrative Sciences,OpenAlex,https://journal.uokufa.edu.iq/index.php/ghjec/article/download/5399/5014,ok,AR_PURE,纯阿语正文(阿语68.2%/英文10.0%)，文旅词命中13个，文本充足,0.682,0.0,0.0996,25833,10,13,0.3714,tourism;tourist;tour;hospitality;hotel;سياحي;سائح;السياحية,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W2736807766,24,W2736807766,10.31436/jlls.v8i1.480,المقاربة النقدية الحديثة للتراث العربي القديم: المعارضة الأدبية أنموذجا / Modern Critical Approach on the Traditional Arabic Heritage: Literary Refutation as An Example.,2017,مجلة الدراسات اللغوية والأدبية (Journal of Linguistic and Literary Studies),OpenAlex,https://journals.iium.edu.my/arabiclang/index.php/JLLS/article/download/480/277,ok,AR_PURE,纯阿语正文(阿语70.8%/英文7.9%)，文旅词命中4个，文本充足,0.7085,0.0,0.0785,23469,10,4,0.1143,heritage;تراث;ثقافة;ثقافي,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W3187756055,25,W3187756055,,أهمية المقاربة الحضارية في تفعيل التراث: مداخل توجيهية =Significance of civilisational approach in activating heritage: key guidelines = Kepentingan pendekatan tamadun dalam mengaktifkan warisan: garis panduan utama,2020,Scientific Repository (Petra Christian University),OpenAlex,http://irep.iium.edu.my/86831/1/Prof%20Aziz%2C%20Dr%20Ismail%20articel%2C%20JIA%2C%20Vol%2017%20No.%202%20%28Arabic%2001%29%20%20.pdf,ok,QUAL_CASE,阿语占比中等(59.0%)但文旅词命中2个且文本充足，可作定性案例,0.5898,0.0,0.1294,19129,10,2,0.0571,heritage;تراث,0,,1,在90案例池内
W4391918854,26,W4391918854,10.31185/wjfh.vol19.iss53.532,التناص  مع التراث الادبي في شعر الرثاء في العصر العباسي,2022,مجلة واسط للعلوم الانسانية,OpenAlex,https://wjfh.uowasit.edu.iq/index.php/wjfh/article/download/532/452,ok,AR_PURE,纯阿语正文(阿语63.9%/英文3.8%)，文旅词命中6个，文本充足,0.6388,0.0,0.0382,21231,10,6,0.1714,heritage;تراث;ثقافة;ثقافي;آثار;resort,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W4327513434,27,W4327513434,10.31430/wzub6312,في أنثروبولوجيا الاحتباس الحراري: المناخ وحقوق الإنسان والعمران البشري العالمي,2023,عمران للعلوم الإجتماعية و الإنسانية,OpenAlex,https://omran.dohainstitute.org/ar/043/Documents/Omran-43-2023-Osman.pdf,ok,AR_PURE,纯阿语正文(阿语70.0%/英文8.9%)，文旅词命中8个，文本充足,0.7004,0.0,0.0891,28954,10,8,0.2286,heritage;cultural;culture;تراث;ثقافة;ثقافي;آثار;أثار,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W4387943201,28,W4387943201,10.29228/smryj.71630,لخطاب الإقناعي في أشعار ذوي العاهات الجاهليين,2023,SOCIAL MENTALITY AND RESEARCHER THINKERS JOURNAL,OpenAlex,https://smartofjournal.com/files/smartjournal/f1d8b15c-9c32-452c-8cf8-eab9ef85f189.pdf,ok,AR_PURE,纯阿语正文(阿语61.8%/英文11.9%)，文旅词命中3个，文本充足,0.618,0.0,0.1192,39177,9,3,0.0857,heritage;cultural;ثقافة,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W4399940590,29,W4399940590,10.29228/ijla.76601,طوفان الأقصى حرب اللغة الٳعلامية دراسة لغوية دلالية,2024,International Journal of Language Academy,OpenAlex,https://ijla.net/files/ijla_arsiv/b13f8c1a-f554-48ed-9fd4-e15f0762a8da.pdf,ok,QUAL_CASE,阿语占比中等(15.6%)但文旅词命中3个且文本充足，可作定性案例,0.156,0.0,0.1089,36985,10,3,0.0857,heritage;cultural;culture,0,,1,在90案例池内
W3097094819,30,W3097094819,10.31436/jia.v17i2.966,صرف أموال الزكاة في التكافل الصحي المصغر: دراسة فقهية (using zakat funds as contributions for Micro-health takaful: A shariah Perspective),2020,Journal of Islam in Asia (E-ISSN 2289-8077),OpenAlex,https://journals.iium.edu.my/jiasia/index.php/jia/article/download/966/430,ok,AR_EN_BILING,阿英双语(阿语39.9%/英文32.9%)，文旅词命中1个，文本充足,0.3989,0.0,0.3289,17249,10,1,0.0286,heritage,0,阿英双语正文，非纯阿语，不满足'纯阿语正文'条件,1,在90案例池内
W4292018279,31,W4292018279,10.36322/jksc.v1i53.5041,أثر البيئة الثقافية والطبيعية كمحفزات في تشكيل وصياغة النسيج الحضري مثال تحليلي للفترة السومرية من حضارة وادي الرافدين,2019,Journal of Kufa Studies Center,OpenAlex,https://journal.uokufa.edu.iq/index.php/ksc/article/download/5041/4654,ok,NOT_TOURISM,文旅主题词0命中（阿语占比27.9%）,0.279,0.0,0.0,16391,10,0,0.0,,0,内容非文旅(文旅主题词0命中),0,未进90案例池
W4312825105,32,W4312825105,10.56807/buj.v3i2.185,التراث غير المادي اليمني في الفضاء الرقمي (نماذج مختارة),2021,Albaydha University Journal,OpenAlex,https://baydaauniv.net/buj/index.php/buj/article/download/185/180,ok,AR_PURE,纯阿语正文(阿语61.9%/英文7.0%)，文旅词命中5个，文本充足,0.6186,0.0,0.0701,52344,10,5,0.1429,heritage;cultural;culture;museum;archaeolog,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W4200510720,33,W4200510720,10.33948/jap-ksu-33-4-2,الاستدامة الشاملة في إعادة توظيف المباني الحجازية التاريخية - حالة دراسية لبيت الصيرفي في جدة التاريخية,2021,,OpenAlex,https://doi.org/10.33948/jap-ksu-33-4-2,ok,AR_PURE,纯阿语正文(阿语81.2%/英文0.4%)，文旅词命中4个，文本充足,0.8123,0.0,0.0041,23314,10,4,0.1143,سياحة;تراث;ثقافي;متحف,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W4392054342,34,W4392054342,10.33948/jap-ksu-36-1-4,العولمة والثقافة والتراث وهوية المدينة (مقالة مختصرة غير محكمة),2024,,OpenAlex,https://doi.org/10.33948/jap-ksu-36-1-4,ok,AR_PURE,纯阿语正文(阿语81.0%/英文0.7%)，文旅词命中4个，文本充足,0.8095,0.0,0.0066,25928,10,4,0.1143,تراث;ثقافة;ثقافي;متاحف,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W4231006628,35,W4231006628,10.33193/jalhss.61.2020.333,توظيف التراث في قصص الدكتور جمال الجزيري( وتدمع عيون الغراب- أولاد الحرام- ما أجمل هذه القيامة ),2020,"Journal of Arts, Literature, Humanities and Social Sciences",OpenAlex,http://www.jalhss.com/index.php/jalhss/article/download/333/324,ok,AR_PURE,纯阿语正文(阿语61.5%/英文6.3%)，文旅词命中3个，文本充足,0.6148,0.0,0.0625,41710,10,3,0.0857,heritage;cultural;culture,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W7139689313,36,W7139689313,,الهوية العمانية في أرخبيل الملايو : حضور تاريخي يتجدد,2025,The International Islamic University Malaysia Repository (The International Islamic University Malaysia),OpenAlex,http://irep.iium.edu.my/126672/1/126672_%D9%86%D8%B4%D8%B1%D8%A9%20%D9%85%D8%B1%D9%83%D8%B2%20%D8%A7%D9%84%D8%A8%D8%AD%D9%88%D8%AB%20%D9%88%D8%A7%D9%84%D8%AF%D8%B1%D8%A7%D8%B3%D8%A7%D8%AA%20%D8%A7%D9%84%D8%B9%D9%8F%D9%85%D8%A7%D9%86%D9%8A%D8%A9%20%E2%80%93%20%D9%85%D8%A7%D9%84%D9%8A%D8%B2%D9%8A%D8%A7.pdf,ok,NOT_TOURISM,文旅主题词0命中（阿语占比76.4%）,0.7638,0.0,0.0449,8707,10,0,0.0,,0,内容非文旅(文旅主题词0命中),0,未进90案例池
W4403752448,37,W4403752448,10.31430/ifwo5657,"""تراثنا هو الكون"" شذرات من خطاب في النسيان",2020,تبين للدراسات الفكرية و الثقافية,OpenAlex,https://tabayyun.dohainstitute.org/ar/issue033/Pages/Tabayun33-2020-rachid.pdf,ok,AR_PURE,纯阿语正文(阿语66.8%/英文10.0%)，文旅词命中6个，文本充足,0.6683,0.0,0.1001,27518,10,6,0.1714,heritage;تراث;ثقافة;ثقافي;متاحف;آثار,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W4200337719,38,W4200337719,10.33193/jalhss.73.2021.599,القيم الجمالية والاقتصادية في بعض الصور الفوتوغرافية التراثية المطبوعة بالورق الحراري على خامات موفرة (الخشب، الأكريليك، البوليستر),2021,"Journal of Arts, Literature, Humanities and Social Sciences",OpenAlex,https://www.jalhss.com/index.php/jalhss/article/download/599/592,ok,AR_PURE,纯阿语正文(阿语65.6%/英文4.5%)，文旅词命中2个，文本充足,0.6562,0.0,0.0452,34458,10,2,0.0571,heritage;تراث,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W2807624544,39,W2807624544,10.31430/rhlr6159,الأرسومات الزجاجية العربية وتعالق الصورة والكتابة (من خلال المدونة التونسية),2018,تبين للدراسات الفكرية و الثقافية,OpenAlex,https://tabayyun.dohainstitute.org/ar/issue024/Pages/Tabayun24-2018_khalil.pdf,ok,AR_PURE,纯阿语正文(阿语70.4%/英文8.6%)，文旅词命中9个，文本充足,0.7042,0.0,0.0864,21373,10,9,0.2571,سياحي;heritage;cultural;culture;تراث;ثقافة;ثقافي;متحف,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W2966305250,40,W2966305250,10.31430/10.31430,بين التعقل والتخلق كيف الطريق إلى الارتياض بمكارم الأخلاق عند ابن عربي؟,2019,تبين للدراسات الفكرية و الثقافية,OpenAlex,https://tabayyun.dohainstitute.org/ar/issue029/Pages/Tabayyun29-2019-belagrouze.pdf,ok,AR_PURE,纯阿语正文(阿语74.3%/英文5.6%)，文旅词命中6个，文本充足,0.7434,0.0,0.0556,26382,10,6,0.1714,heritage;culture;تراث;ثقافة;ثقافي;آثار,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W3170097670,41,W3170097670,10.65074/zcjqg434,المصادر التاريخية لدراسة ظاهرة السكن العشوائي,2021,مجلة دراسات في التاريخ والآثار,OpenAlex,https://jcoart.uobaghdad.edu.iq/index.php/2075-3047/article/download/166/134,ok,QUAL_CASE,阿语占比中等(59.1%)但文旅词命中2个且文本充足，可作定性案例,0.5914,0.0,0.0214,17392,10,2,0.0571,heritage;تراث,0,,1,在90案例池内
W4361988281,42,W4361988281,10.29228/jasss.67440,MODERN SURİYE’DEKİ DÜŞÜNCE VE İLİM ADAMLARININ METİN TENKİDİ GÖRÜŞLERİ أراء علماء ومفكري سوريا المعاصرين في نقد المتن الحديثي,2023,The journal of academic social science studies/The journal of academic social science,OpenAlex,https://jasstudies.com/files/jass_makaleler/e9d64266-152b-46a9-9ae5-52438ecd878c.pdf,ok,AR_PURE,纯阿语正文(阿语60.9%/英文13.5%)，文旅词命中5个，文本充足,0.6091,0.0,0.1354,46912,10,5,0.1429,سفر;heritage;تراث;ثقافة;أثار,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W2569251321,43,W2569251321,10.35632/citj.v19i76.747,الحداثة بين الفكر الغربي والفكر العربي انقطاع أو اتصال؟ الأدب أنموذجا,2014,الفكر الإسلامي المعاصر (إسلامية المعرفة سابقا),OpenAlex,https://citj.org/index.php/citj/article/download/747/551,ok,QUAL_CASE,阿语占比中等(28.5%)但文旅词命中2个且文本充足，可作定性案例,0.2848,0.0,0.04,24342,10,2,0.0571,heritage;cultural,0,,1,在90案例池内
W2509444367,44,W2509444367,10.35632/citj.v21i83.555,في نقد أطروحة العلمنة في السياقين الغربي والإسلامي,2016,الفكر الإسلامي المعاصر (إسلامية المعرفة سابقا),OpenAlex,https://citj.org/index.php/citj/article/download/555/401,ok,AR_PURE,纯阿语正文(阿语65.7%/英文9.1%)，文旅词命中4个，文本充足,0.6571,0.0,0.0905,23774,10,4,0.1143,heritage;cultural;culture;تراث,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W4402644146,45,W4402644146,10.61312/tam6a968,دور المرأة الفلسطينية في حماية الهوية وثقافة المجتمع,2024,Journal of Al-Mubadara,OpenAlex,https://www.almubadara.net/index.php/joa/article/download/47/35,ok,AR_PURE,纯阿语正文(阿语66.1%/英文6.1%)，文旅词命中5个，文本充足,0.661,0.0,0.0606,21634,10,5,0.1429,heritage;culture;تراث;ثقافة;ثقافي,1,纯阿语正文(正文阿语>=60%/英文<20%/波斯=0)+文旅相关(tourism_hits>=1)+全文可得,1,在90案例池内
W4401601464,46,W4401601464,10.33899/radab.2024.145980.2059,التوازي التركيبي في شعــــر الخبزأرزي,2024,اداب الرافدین,OpenAlex,https://radab.uomosul.edu.iq/index.php/radab/article/download/33625/33441/33744,ok,QUAL_CASE,阿语占比中等(59.2%)但文旅词命中2个且文本充足，可作定性案例,0.5925,0.0,0.0677,41218,10,2,0.0571,heritage;cultural,0,,1,在90案例池内
